amenity,barrier,beds,building,cuisine,name,religion,shop,tourism,xcoord,ycoord,adress,source
driving_school,,,,,,,,,70.8413892,66.862046,,Overpass-turbo
,,,,,Перекрёсток,,farm,,70.8371386,66.8657119,"Яр-Сале, Советская улица, 38А",Overpass-turbo
,,,,,Тура,,houseware,,70.8467824,66.8576072,"Яр-Сале, улица Мира, 2А",Overpass-turbo
,,,,,ЯЛЭМД,,,hotel,70.844556,66.8591566,"Яр-Сале, Советская улица, 4",Overpass-turbo
cafe,,,,,"Кафе ""АЙС""",,,,70.8391887,66.8662097,"Яр-Сале, улица Мира, 33",Overpass-turbo
,,,,,,,hairdresser,,70.8389642,66.8632968,,Overpass-turbo
,,,,,Ямальские Олени,,butcher,,70.8388284,66.8634375,"Яр-Сале, Советская улица, 31",Overpass-turbo
,,,,,Овощная Лавка,,greengrocer,,70.8373789,66.8626767,"Яр-Сале, улица Худи Сэроко, 29",Overpass-turbo
cafe,,,,,Жар-Пицца,,,,70.8411967,66.8613105,"Яр-Сале, Советская улица, 19",Overpass-turbo
community_centre,,,,,Центр национальных культур,,,,70.8411494,66.8609695,"Яр-Сале, Советская улица, 17",Overpass-turbo
,,,,,Белая Медведица,,farm,,70.8344894,66.8687601,,Overpass-turbo
,,,,,Завхоз,,hardware,,70.8340978,66.8678065,"Яр-Сале, Советская улица, 44А",Overpass-turbo
,,,,,Фруктовый Рай,,farm,,70.8298036,66.8697139,"Яр-Сале, Советская улица",Overpass-turbo
,,,,,Ямальский,,farm,,70.8365105,66.8627999,,Overpass-turbo
,,,,,Вавилон,,farm,,70.8373909,66.8619396,,Overpass-turbo
,,,,,ИТД,,farm,,70.8371073,66.8614554,,Overpass-turbo
,,"6",,,,,,hotel,70.844209,66.8623213,,Overpass-turbo
,,,,,"Магазин-СТО ""ЛИДЕР""",,car_parts,,70.828086,66.869715,"Советская улица, 61/7",Overpass-turbo
doctors,,,,,Поликлиника,,,,70.8401495,66.8597395,,Overpass-turbo
restaurant,,,,international,Ялэмд,,,,70.844429,66.8590927,"Яр-Сале, Советская улица, 4",Overpass-turbo
